provider,url,nb_stops,nb_routes,nb_trips,error
Karlsruher Verkehrsverbund,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-baden-wurttemberg-karlsruher-verkehrsverbund-gtfs-2231.zip?alt=media,5800.0,909.0,105124.0,
"Rurtalbahn GmbH, ABELLIO Rail, VIAS GmbH, Aachener Straßenbahn und Energieversorgungs-AG, Rurtalbus GmbH, WestVerkehr GmbH, Staatsbahnen, National Express, ASEAG Netliner",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-nordrhein-westfalen-rurtalbahn-gmbh-gtfs-1094.zip?alt=media,3193.0,370.0,21148.0,
Transports Publics du Choletais,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-pays-de-la-loire-transports-publics-du-choletais-gtfs-1789.zip?alt=media,680.0,19.0,1445.0,
Aix en Bus,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-aix-en-bus-gtfs-888.zip?alt=media,886.0,63.0,14525.0,
Ciotabus,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-ciotabus-gtfs-1056.zip?alt=media,232.0,14.0,457.0,
CAA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-caa-gtfs-1878.zip?alt=media,977.0,67.0,5908.0,
LILA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-pays-de-la-loire-lila-gtfs-1261.zip?alt=media,2104.0,36.0,5910.0,
lebateau,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-lebateau-gtfs-843.zip?alt=media,6.0,1.0,41.0,
Les bus des Cigales,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-les-bus-des-cigales-gtfs-889.zip?alt=media,46.0,3.0,1.0,
Marcoulines,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-marcoulines-gtfs-842.zip?alt=media,132.0,20.0,175.0,
Grasse Sillages Scolaire,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-grasse-sillages-scolaire-gtfs-996.zip?alt=media,895.0,26.0,270.0,
Ulysse,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-ulysse-gtfs-890.zip?alt=media,4.0,2.0,72.0,
Ulysse,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-ulysse-gtfs-890.zip?alt=media,4.0,2.0,72.0,
Tours Métropole Val de Loire,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-centre-val-de-loire-tours-metropole-val-de-loire-gtfs-1987.zip?alt=media,2144.0,44.0,26108.0,
Tisséo,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-occitanie-tisseo-gtfs-1024.zip?alt=media,5540.0,122.0,31406.0,
